fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted,event_id,event_title,event_date,event_location,event_attendance,event_url
1864,"UFC on FOX: Dos Anjos vs. Cowboy 2","Charles Oliveira","Myles Jury",Featherweight,SUB,"Guillotine Choke",1,3:05,164f56eb25d6a9b4,583,1864,175,1,"Charles Oliveira",0,10,16,1,1,1,2,0,0:11,583,1864,175,1,"Charles Oliveira",0,4,3,4,2,2,5,10,0,0,0,0,175,"UFC on FOX: Dos Anjos vs. Cowboy 2",2015-12-19,"Orlando, Florida, USA","14,459",80d918336163b80c
1864,"UFC on FOX: Dos Anjos vs. Cowboy 2","Charles Oliveira","Myles Jury",Featherweight,SUB,"Guillotine Choke",1,3:05,164f56eb25d6a9b4,584,1864,175,1,"Myles Jury",0,5,16,0,0,0,0,0,1:37,584,1864,175,1,"Myles Jury",3,14,1,1,1,1,5,16,0,0,0,0,175,"UFC on FOX: Dos Anjos vs. Cowboy 2",2015-12-19,"Orlando, Florida, USA","14,459",80d918336163b80c
2074,"UFC Fight Night: Holloway vs Oliveira","Max Holloway","Charles Oliveira",Featherweight,KO/TKO,NULL,1,1:39,05e2832cd5ffb7a6,847,2074,196,1,"Max Holloway",0,14,29,0,0,0,0,0,0:06,847,2074,196,1,"Max Holloway",6,20,8,9,0,0,14,29,0,0,0,0,196,"UFC Fight Night: Holloway vs Oliveira",2015-08-23,"Saskatoon, Saskatchewan, ","7,202",2ce6541127b0e232
2074,"UFC Fight Night: Holloway vs Oliveira","Max Holloway","Charles Oliveira",Featherweight,KO/TKO,NULL,1,1:39,05e2832cd5ffb7a6,848,2074,196,1,"Charles Oliveira",0,5,17,0,1,0,0,0,0:00,848,2074,196,1,"Charles Oliveira",3,15,1,1,1,1,4,16,1,1,0,0,196,"UFC Fight Night: Holloway vs Oliveira",2015-08-23,"Saskatoon, Saskatchewan, ","7,202",2ce6541127b0e232
2590,"UFC Fight Night: Te Huna vs Marquardt","Charles Oliveira","Hatsu Hioki",Featherweight,SUB,"Anaconda Choke",2,4:32,a4759c52378f9d1a,2679,2590,242,1,"Hatsu Hioki",0,19,27,1,2,0,1,0,2:51,2679,2590,242,1,"Hatsu Hioki",4,8,3,5,0,0,3,5,2,3,2,5,242,"UFC Fight Night: Te Huna vs Marquardt",2014-06-28,"Auckland, New Zealand","8,089",ac9521250dc1a14c
2590,"UFC Fight Night: Te Huna vs Marquardt","Charles Oliveira","Hatsu Hioki",Featherweight,SUB,"Anaconda Choke",2,4:32,a4759c52378f9d1a,2680,2590,242,1,"Charles Oliveira",0,15,21,2,3,1,0,0,1:48,2680,2590,242,1,"Charles Oliveira",2,7,6,6,2,2,0,2,9,12,1,1,242,"UFC Fight Night: Te Huna vs Marquardt",2014-06-28,"Auckland, New Zealand","8,089",ac9521250dc1a14c
2590,"UFC Fight Night: Te Huna vs Marquardt","Charles Oliveira","Hatsu Hioki",Featherweight,SUB,"Anaconda Choke",2,4:32,a4759c52378f9d1a,2681,2590,242,2,"Hatsu Hioki",0,12,24,2,2,0,5,0,3:06,2681,2590,242,2,"Hatsu Hioki",3,13,1,1,0,0,3,12,0,0,1,2,242,"UFC Fight Night: Te Huna vs Marquardt",2014-06-28,"Auckland, New Zealand","8,089",ac9521250dc1a14c
2590,"UFC Fight Night: Te Huna vs Marquardt","Charles Oliveira","Hatsu Hioki",Featherweight,SUB,"Anaconda Choke",2,4:32,a4759c52378f9d1a,2682,2590,242,2,"Charles Oliveira",0,18,31,1,2,1,0,0,0:35,2682,2590,242,2,"Charles Oliveira",8,16,4,5,2,2,3,12,5,5,6,6,242,"UFC Fight Night: Te Huna vs Marquardt",2014-06-28,"Auckland, New Zealand","8,089",ac9521250dc1a14c
6278,"UFC Fight Night: Maia vs. Condit","Anthony Pettis","Charles Oliveira",Featherweight,SUB,"Guillotine Choke",3,1:49,51d3be5e8aee5cd9,14805,6278,629,1,"Anthony Pettis",0,41,61,0,0,0,1,2,2:17,14805,6278,629,1,"Anthony Pettis",18,34,7,9,0,0,8,11,0,0,17,32,629,"UFC Fight Night: Maia vs. Condit",2016-08-27,"Vancouver, British Columb","10,533",cfbccfed4e4796fe
6278,"UFC Fight Night: Maia vs. Condit","Anthony Pettis","Charles Oliveira",Featherweight,SUB,"Guillotine Choke",3,1:49,51d3be5e8aee5cd9,14806,6278,629,1,"Charles Oliveira",0,12,20,1,6,0,2,0,2:01,14806,6278,629,1,"Charles Oliveira",5,10,4,7,0,0,3,7,2,2,4,8,629,"UFC Fight Night: Maia vs. Condit",2016-08-27,"Vancouver, British Columb","10,533",cfbccfed4e4796fe
