fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted,event_id,event_title,event_date,event_location,event_attendance,event_url
23,"UFC Fight Night: Lee vs. Oliveira","Charles Oliveira","Kevin Lee",Lightweight,SUB,"Guillotine Choke",3,0:28,e0b323dae5bf4c90,113,23,3,1,"Kevin Lee",0,15,29,0,0,0,1,1,3:30,113,23,3,1,"Kevin Lee",13,27,2,2,0,0,8,22,0,0,7,7,3,"UFC Fight Night: Lee vs. Oliveira",2020-03-14,"Brasilia, Distrito Federa",0,53278852bcd91e11
23,"UFC Fight Night: Lee vs. Oliveira","Charles Oliveira","Kevin Lee",Lightweight,SUB,"Guillotine Choke",3,0:28,e0b323dae5bf4c90,114,23,3,1,"Charles Oliveira",0,16,21,0,1,0,0,1,0:11,114,23,3,1,"Charles Oliveira",8,12,1,2,4,4,10,15,0,0,3,3,3,"UFC Fight Night: Lee vs. Oliveira",2020-03-14,"Brasilia, Distrito Federa",0,53278852bcd91e11
23,"UFC Fight Night: Lee vs. Oliveira","Charles Oliveira","Kevin Lee",Lightweight,SUB,"Guillotine Choke",3,0:28,e0b323dae5bf4c90,115,23,3,2,"Kevin Lee",0,36,57,2,2,0,1,0,2:56,115,23,3,2,"Kevin Lee",13,34,3,3,0,0,13,29,0,0,3,8,3,"UFC Fight Night: Lee vs. Oliveira",2020-03-14,"Brasilia, Distrito Federa",0,53278852bcd91e11
23,"UFC Fight Night: Lee vs. Oliveira","Charles Oliveira","Kevin Lee",Lightweight,SUB,"Guillotine Choke",3,0:28,e0b323dae5bf4c90,116,23,3,2,"Charles Oliveira",0,33,47,0,0,1,0,0,0:00,116,23,3,2,"Charles Oliveira",19,33,7,7,2,2,23,36,2,2,3,4,3,"UFC Fight Night: Lee vs. Oliveira",2020-03-14,"Brasilia, Distrito Federa",0,53278852bcd91e11
23,"UFC Fight Night: Lee vs. Oliveira","Charles Oliveira","Kevin Lee",Lightweight,SUB,"Guillotine Choke",3,0:28,e0b323dae5bf4c90,117,23,3,3,"Kevin Lee",0,10,14,0,1,0,0,0,0:04,117,23,3,3,"Kevin Lee",9,13,1,1,0,0,10,14,0,0,0,0,3,"UFC Fight Night: Lee vs. Oliveira",2020-03-14,"Brasilia, Distrito Federa",0,53278852bcd91e11
23,"UFC Fight Night: Lee vs. Oliveira","Charles Oliveira","Kevin Lee",Lightweight,SUB,"Guillotine Choke",3,0:28,e0b323dae5bf4c90,118,23,3,3,"Charles Oliveira",0,2,5,0,0,1,0,0,0:00,118,23,3,3,"Charles Oliveira",1,4,1,1,0,0,2,5,0,0,0,0,3,"UFC Fight Night: Lee vs. Oliveira",2020-03-14,"Brasilia, Distrito Federa",0,53278852bcd91e11
277,"UFC Fight Night: Lee vs. Iaquinta","Charles Oliveira","Jim Miller",Lightweight,SUB,"Rear Naked Choke",1,1:15,f3e289f1423c0e6f,133,277,27,1,"Jim Miller",0,1,2,0,0,0,0,0,0:00,133,277,27,1,"Jim Miller",0,1,0,0,1,1,1,2,0,0,0,0,27,"UFC Fight Night: Lee vs. Iaquinta",2018-12-15,"Milwaukee, Wisconsin, USA","9,010",7a703c565ccaa18f
277,"UFC Fight Night: Lee vs. Iaquinta","Charles Oliveira","Jim Miller",Lightweight,SUB,"Rear Naked Choke",1,1:15,f3e289f1423c0e6f,134,277,27,1,"Charles Oliveira",0,1,2,1,1,1,1,0,0:47,134,277,27,1,"Charles Oliveira",0,0,0,0,0,1,0,1,0,0,0,0,27,"UFC Fight Night: Lee vs. Iaquinta",2018-12-15,"Milwaukee, Wisconsin, USA","9,010",7a703c565ccaa18f
941,"UFC 225: Whittaker vs. Romero 2","Charles Oliveira","Clay Guida",Lightweight,SUB,"Guillotine Choke",1,2:18,e82d734674ce4d46,449,941,86,1,"Clay Guida",0,9,25,0,1,0,0,0,0:00,449,941,86,1,"Clay Guida",4,20,3,3,2,2,8,24,1,1,0,0,86,"UFC 225: Whittaker vs. Romero 2",2018-06-09,"Chicago, Illinois, USA","18,117",2eae41f61776c60f
941,"UFC 225: Whittaker vs. Romero 2","Charles Oliveira","Clay Guida",Lightweight,SUB,"Guillotine Choke",1,2:18,e82d734674ce4d46,450,941,86,1,"Charles Oliveira",0,14,29,0,0,1,0,0,0:02,450,941,86,1,"Charles Oliveira",6,18,1,2,7,9,14,28,0,1,0,0,86,"UFC 225: Whittaker vs. Romero 2",2018-06-09,"Chicago, Illinois, USA","18,117",2eae41f61776c60f
